00001740-a	quality	able: (usually followed by `to') having the necessary means or skill or know-how or authority to do something; "able to swim"; "she was able to program her computer"; "we were at last able to buy a car"; "able to get a grant for the project"
00001740-n	factotum	entity: that which is perceived or known or inferred to have its own distinct existence (living or nonliving)
00001740-r	factotum	a cappella: without musical accompaniment; "they performed a cappella"
00001740-v	medicine	breathe, respire, suspire, take a breath: draw air into, and expel out of, the lungs; "I can breathe better when the air is clean"; "The patient is respiring"
00002452-n	factotum	thing: a separate and self-contained entity
00003380-r	factotum	annoyingly: in an annoying manner or to an annoying degree
00028424-r	factotum	however: in whatever way or manner; "Victory, however it was brought about, was sweet"; "however he did it, it was very clever"
00036762-r	factotum	as such, in and of itself, intrinsically, per se: with respect to its inherent nature; "this statement is interesting per se"
00050037-n	military	enrollment, enrolment, registration: the act of enrolling
00066977-v	biology	tear: fill with tears or shed tears; "Her eyes were tearing"
00076681-r	factotum	aurally: with regard to sound or the ear; "the new musical was visually and aurally appealing"
00090386-v	factotum	shock: subject to electrical shocks
00093327-v	biology	fall back, lapse, recidivate, regress, relapse, retrogress: go back to bad behavior; "Those who recidivate are often minor criminals"
00099951-n	baseball	conjuration, conjuring trick, deception, illusion, legerdemain, magic, magic trick, thaumaturgy, trick: an illusory feat; considered magical by naive observers
00105023-a	factotum	ambitionless, unambitious: having little desire for success or achievement
00106726-n	factotum	ringer: (horseshoes) the successful throw of a horseshoe or quoit so as to encircle a stake or peg
00117106-a	psychoanalysis	unresentful: not resentful; "completely unresentful and forgiving"
00159373-r	factotum	for all the world, for any price, for anything, for love or money: under any circumstances; "she wouldn't give up her pets for love or money"
00169522-n	factotum	vertical bank: a bank so steep that the plane's lateral axis approaches the vertical
00170340-n	politics	roll: a flight maneuver; aircraft rotates about its longitudinal axis without changing direction or losing altitude
00184511-v	factotum	put on: add to something existing; "She put on a sun room"
00187617-r	quality	extravagantly, lavishly, richly: in a rich and lavish manner; "lavishly decorated"
00206998-v	factotum	help: improve; change for the better; "New slipcovers will help the old living room furniture"
00208773-r	factotum	helplessly, impotently, unable to help: in a helpless manner; "the crowd watched him helplessly"
00215048-r	factotum	boringly, tediously, tiresomely: in a tedious manner; "boringly slow work"; "he plodded tediously forward"
00215363-v	buildings	spin-dry: dry (clothes) by spinning and making use of centrifugal forces
